"( National and State Abstracts & Detailed Results )",""
"CONTENTS",""
"SUBJECT","Page no."
"Part - I",""
"1. List of Participating Political Parties and Abbreviation","1"
"2. Number and Types of Constituencies","2"
"3. Seats and Constituencies",""
"4. Size of Electorate","3"
"5. Voter Turnout and Polling Stations","4"
"6. Number of Candidates per Constituency","5"
"7. Number of Candidates and Forfeiture of Deposits","6"
"8. List of Successful Candidates","7 - 28"
"9. Performance of National Parties vis-à-vis Others","29"
"10. Seats won by Parties in States / U.T.s","30 - 32"
"11. Seats won in States / U.T.s by Parties","33 - 35"
"12. Votes Polled by Parties – National Summary","36"
"13. Votes Polled by Parties in States / U.T.s","37 - 40"
"14. Votes Polled in States / U.T.s by Parties","41 - 44"
"15. Performance of Women Candidates","45"
"16. Performance of Women Candidates in National Parties vis-à-vis Others","46"
"17. Women Candidates","47 - 50"
"Part - II",""
"18. Detailed Results","51- 108"
