"","","","SINGLE SEAT CONSTITUENCIES","","","","DOUBLE SEAT CONSTITUENCIES","","",""
"","","","(Number of seats)","","","","(Number of seats)","","",""
"Names of States/","","","","","","","","","",""
"Union Territory","Number of 
Contituencie","","","","","","","","","Total seats"
"","","Gen","SC","ST","Total","Gen","SC","ST","Total",""
"","s","","","","","","","","",""
"States","","","","","","","","","",""
"1
Andhra Pradesh","35","27","","0","27","8","6","2","16","43"
"2
Assam","10","7","","1","8","2","1","1","4","12"
"3
Bihar","45","33","","4","37","8","7","1","16","53"
"4
Bombay","58","46","","4","50","8","7","1","16","66"
"5
Kerala","16","14","","0","14","2","2","","4","18"
"6
Madhya Pradesh","27","15","","3","18","9","5","4","18","36"
"7
Madras","34","27","","0","27","7","7","","14","41"
"8
Mysore","23","20","","0","20","3","3","","6","26"
"9
Orissa","14","6","","2","8","6","4","2","12","20"
"10 Punjab","17","12","","0","12","5","5","","10","22"
"11 Rajasthan","18","13","","1","14","4","3","1","8","22"
"12 Uttar Pradesh","68","50","","0","50","18","18","","36","86"
"13 West Bengal","28","20","","0","20","8","6","2","16","36"
"Union Territory","","","","","","","","","",""
"14 Delhi","4","3","","0","3","1","1","","2","5"
"15 Himachal Pradesh","3","2","","0","2","1","1","","2","4"
"16 Manipur","2","1","","1","2","0","","","0","2"
"17
Tripura","1","","","","","1","","1","2","2"
"","403","296","0","16","312","91","76","15","182","494"
