"","","","NUMBER OF CANDIDATES PER CONSTITUENCY","","","","","","","","","","",""
"","","","","","CONSTITUENCIES WITH CANDIDATES NUMBERING","","","","","","TOTAL","","CANDIDATES IN A",""
"","","","","","","","","","","","CANDI-","","CONSTITUENCY",""
"","STATE/UT","SEATS","1","2","3","4","5","6 - 8","9 -10",">10","DATES","","",""
"","","","","","","","","","","","","AVG","MIN","MAX"
"1 .","Andhra Pradesh","35","2","13","8","5","4","2","1","0","112","3","1","10"
"2 .","Assam","10","1","2","4","2","0","1","0","0","31","3","1","6"
"3 .","Bihar","45","0","3","18","7","8","7","1","1","189","4","2","11"
"4 .","Bombay","58","0","33","14","4","2","5","0","0","159","3","2","6"
"5 .","Kerala","16","0","1","7","5","1","2","0","0","58","4","2","6"
"6 .","Madhya Pradesh","27","1","5","6","3","2","8","2","0","121","4","1","10"
"7 .","Madras","34","0","5","8","6","5","9","1","0","142","4","1","9"
"8 .","Mysore","23","1","10","7","3","2","0","0","0","62","3","1","5"
"9 .","Orrisa","14","0","2","5","1","2","4","0","0","57","4","2","6"
"10 .","Punjab","17","0","2","2","1","5","7","0","0","78","5","2","7"
"11 .","Rajasthan","18","0","1","6","3","3","5","0","0","60","3","2","6"
"12 .","Uttar Pradesh","68","0","10","21","13","6","13","5","0","292","4","2","10"
"13 .","West Bengal","28","0","5","13","2","5","3","0","0","98","4","2","7"
"14 .","Delhi","4","0","0","0","1","1","1","0","1","27","7","4","13"
"15 .","Himachal Pradesh","3","0","0","1","0","0","2","0","0","15","5","2","8"
"16 .","Manipur","2","0","0","0","0","1","1","0","0","11","6","5","6"
"17 .","Tripura","1","0","0","0","0","0","1","0","0","7","7","7","7"
