,PARTYTYPE,ABBREVIATION,PARTY
0,PARTYTYPE,ABBREVIATION,PARTY
1,NATIONAL PARTIES,,
2,1 .,BJS,ALL INDIA BHARTIYA JAN SANGH
3,2 .,CPI,COMMUNIST PARTY OF INDIA
4,3 .,INC,INDIAN NATIONAL CONGRESS
5,4 .,PSP,PRAJA SOCIALIST PARTY
6,OTHER STATE PARTIES,,
7,5 .,CNSPJP,JANATA
8,6 .,FBM,FORWARD BLOC (MARXIST)
9,7 .,GP,GANATANTRA PARISHAD
10,8 .,HMS,AKHIL BHARATIYA HINDU MAHASABHA
11,9 .,JHP,JHARKHAND PARTY
12,10 .,PDF,PEOPLES DEMOCRATIC FRONT
13,11 .,PP,PRAJA PARTY
14,12 .,PWP,PEASANTS & WORKERS PARTY
15,13 .,RRP,AKHIL BHARATIYA RAM RAJYA PARISHAD
16,14 .,RSP,REVOLUTIONARY SOCIALIST PARTY
17,15 .,SCF,All INDIA SCHEDULED CASTE FEDERATION
18,INDEPENDENTS,,
19,16 .,IND,INDEPENDENT
1,NATIONAL PARTIES,,
2,1 .,BJS,ALL INDIA BHARTIYA JAN SANGH
3,2 .,CPI,COMMUNIST PARTY OF INDIA
4,3 .,INC,INDIAN NATIONAL CONGRESS
5,4 .,PSP,PRAJA SOCIALIST PARTY
6,OTHER STATE PARTIES,,
7,5 .,CNSPJP,JANATA
8,6 .,FBM,FORWARD BLOC (MARXIST)
9,7 .,GP,GANATANTRA PARISHAD
10,8 .,HMS,AKHIL BHARATIYA HINDU MAHASABHA
11,9 .,JHP,JHARKHAND PARTY
12,10 .,PDF,PEOPLES DEMOCRATIC FRONT
13,11 .,PP,PRAJA PARTY
14,12 .,PWP,PEASANTS & WORKERS PARTY
15,13 .,RRP,AKHIL BHARATIYA RAM RAJYA PARISHAD
16,14 .,RSP,REVOLUTIONARY SOCIALIST PARTY
17,15 .,SCF,All INDIA SCHEDULED CASTE FEDERATION
18,INDEPENDENTS,,
19,16 .,IND,INDEPENDENT
